TABELA_S4;TABELA_DS;VIEW_DS;STATUS
FMBDP;S4H_TB_FMBDP;S4H_VW_FMBDP_R;
FMBH;S4H_TB_FMBH;S4H_VW_FMBH_R;
FMBL;S4H_TB_FMBL;S4H_VW_FMBL_R;
FMCI;S4H_TB_FMCI;S4H_VW_FMCI_R;
FMCIT;S4H_TB_FMCIT;S4H_VW_FMCIT_R;
FMFCTR;S4H_TB_FMFCTR;S4H_VW_FMFCTR_R;
FMFCTRT;S4H_TB_FMFCTRT;S4H_VW_FMFCTRT_R;
FMFINT;S4H_TB_FMFINT;S4H_VW_FMFINT_R;
FMHISV;S4H_TB_FMHISV;S4H_VW_FMHISV_R;
FMIA;S4H_TB_FMIA;S4H_VW_FMIA_R;
FMIFIHD;S4H_TB_FMIFIHD;S4H_VW_FMIFIHD_R;
FMIOI;S4H_TB_FMIOI;S4H_VW_FMIOI_R;
FMIT;S4H_TB_FMIT;S4H_VW_FMIT_R;
FMMEASURE;S4H_TB_FMMEASURE;S4H_VW_FMMEASURE_R;
FMMEASURET;S4H_TB_FMMEASURET;S4H_VW_FMMEASURET_R;
HIVG;S4H_TB_HIVG;S4H_VW_HIVG_R;
HRP1000;S4H_TB_HRP1000;S4H_VW_HRP1000_R;
HRP1001;S4H_TB_HRP1001;S4H_VW_HRP1001_R;
HRUS_D2;S4H_TB_HRUS_D2;S4H_VW_HRUS_D2_R;
IBIN;S4H_TB_IBIN;S4H_VW_IBIN_R;
IBINVALUES;S4H_TB_IBINVALUES;S4H_VW_IBINVALUES_R;
IBSYMBOL;S4H_TB_IBSYMBOL;S4H_VW_IBSYMBOL_R;
IFLOS;S4H_TB_IFLOS;S4H_VW_IFLOS_R;
IFLOT;S4H_TB_IFLOT;S4H_VW_IFLOT_R;
IFLOTX;S4H_TB_IFLOTX;S4H_VW_IFLOTX_R;
IHGNS;S4H_TB_IHGNS;S4H_VW_IHGNS_R;
IHPA;S4H_TB_IHPA;S4H_VW_IHPA_R;
IHSG;S4H_TB_IHSG;S4H_VW_IHSG_R;
IKPF;S4H_TB_IKPF;S4H_VW_IKPF_R;
ILOA;S4H_TB_ILOA;S4H_VW_ILOA_R;
IMPTT;S4H_TB_IMPTT;S4H_VW_IMPTT_R;
IMRG;S4H_TB_IMRG;S4H_VW_IMRG_R;
ISEG;S4H_TB_ISEG;S4H_VW_ISEG_R;
J_1BAAT;S4H_TB_J_1BAAT;S4H_VW_J_1BAAT_R;
J_1BAGNT;S4H_TB_J_1BAGNT;S4H_VW_J_1BAGNT_R;
J_1BAGT;S4H_TB_J_1BAGT;S4H_VW_J_1BAGT_R;
J_1BAON;S4H_TB_J_1BAON;S4H_VW_J_1BAON_R;
J_1BAPN;S4H_TB_J_1BAPN;S4H_VW_J_1BAPN_R;
J_1BAS;S4H_TB_J_1BAS;S4H_VW_J_1BAS_R;
J_1BAST;S4H_TB_J_1BAST;S4H_VW_J_1BAST_R;
J_1BATL1;S4H_TB_J_1BATL1;S4H_VW_J_1BATL1_R;
J_1BATL1T;S4H_TB_J_1BATL1T;S4H_VW_J_1BATL1T_R;
J_1BATL2;S4H_TB_J_1BATL2;S4H_VW_J_1BATL2_R;
J_1BATL2T;S4H_TB_J_1BATL2T;S4H_VW_J_1BATL2T_R;
J_1BATL3;S4H_TB_J_1BATL3;S4H_VW_J_1BATL3_R;
