CDS;RF;TABELA_LOCAL;VIEW;STATUS
ZS4_VCI_VTAX_T226;RS_S4H_PUB_003;S4H_TB_VTAX_T226;S4H_VW_VTAX_T226_R;
ZS4_VCI_VTAX_T251;RS_S4H_PUB_003;S4H_TB_VTAX_T251;S4H_VW_VTAX_T251_R;
ZS4_VCI_VTAX_T268;RS_S4H_PUB_003;S4H_TB_VTAX_T268;S4H_VW_VTAX_T268_R;
ZS4_VCI_VTAX_T270;RS_S4H_PUB_003;S4H_TB_VTAX_T270;S4H_VW_VTAX_T270_R;
ZS4_VCI_VTAX_T371;RS_S4H_PUB_003;S4H_TB_VTAX_T371;S4H_VW_VTAX_T371_R;
ZS4_VCI_VTAX_T373;RS_S4H_PUB_003;S4H_TB_VTAX_T373;S4H_VW_VTAX_T373_R;
ZS4_VCI_VTAX_T374;RS_S4H_PUB_003;S4H_TB_VTAX_T374;S4H_VW_VTAX_T374_R;
ZS4_VCI_VTAX_T647;RS_S4H_PUB_003;S4H_TB_VTAX_T647;S4H_VW_VTAX_T647_R;
ZS4_VCI_VTFA;RS_S4H_PUB_003;S4H_TB_VTFA;S4H_VW_VTFA_R;
ZS4_VCI_VTTK;RS_S4H_PUB_003;S4H_TB_VTTK;S4H_VW_VTTK_R;
ZS4_VCI_VTTP;RS_S4H_PUB_003;S4H_TB_VTTP;S4H_VW_VTTP_R;
ZS4_VCI_VTTS;RS_S4H_PUB_003;S4H_TB_VTTS;S4H_VW_VTTS_R;
ZS4_VCI_WITH_ITEM;RS_S4H_PUB_003;S4H_TB_WITH_ITEM;S4H_VW_WITH_ITEM_R;
ZS4_VCI_ZBPTFIPDVTAX18;RS_S4H_PUB_003;S4H_TB_ZBPTFIPDVTAX18;S4H_VW_ZBPTFIPDVTAX18_R;
ZS4_VCI_ZBPTPMSLA;RS_S4H_PUB_003;S4H_TB_ZBPTPMSLA;S4H_VW_ZBPTPMSLA_R;
ZS4_VCI_ZBRTMM_TXUSD_LOG;RS_S4H_PUB_003;S4H_TB_ZBRTMM_TXUSD_LOG;S4H_VW_ZBRTMM_TXUSD_LOG_R;
ZS4_VCI_ZBRTPP_AUXWERKS;RS_S4H_PUB_003;S4H_TB_ZBRTPP_AUXWERKS;S4H_VW_ZBRTPP_AUXWERKS_R;
ZS4_VCI_ZBRTPP_CLASS_RAL;RS_S4H_PUB_003;S4H_TB_ZBRTPP_CLASS_RAL;S4H_VW_ZBRTPP_CLASS_RAL_R;
ZS4_VCI_ZBRTPP_DIR_MINER;RS_S4H_PUB_003;S4H_TB_ZBRTPP_DIR_MINER;S4H_VW_ZBRTPP_DIR_MINER_R;
ZS4_VCI_ZBRTPP_DM_COMPL;RS_S4H_PUB_003;S4H_TB_ZBRTPP_DM_COMPL;S4H_VW_ZBRTPP_DM_COMPL_R;
ZS4_VCI_ZBRTPP_INSUMO;RS_S4H_PUB_003;S4H_TB_ZBRTPP_INSUMO;S4H_VW_ZBRTPP_INSUMO_R;
ZS4_VCI_ZBRTPP_MAT_RAL;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MAT_RAL;S4H_VW_ZBRTPP_MAT_RAL_R;
ZS4_VCI_ZBRTPP_MES_MAT;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MES_MAT;S4H_VW_ZBRTPP_MES_MAT_R;
ZS4_VCI_ZBRTPP_MES_TPMOV;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MES_TPMOV;S4H_VW_ZBRTPP_MES_TPMOV_R;
ZS4_VCI_ZBRTPP_MES_TPPLA;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MES_TPPLA;S4H_VW_ZBRTPP_MES_TPPLA_R;
ZS4_VCI_ZBRTPP_MESURES;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MESURES;S4H_VW_ZBRTPP_MESURES_R;
ZS4_VCI_ZBRTPP_MINE;RS_S4H_PUB_003;S4H_TB_ZBRTPP_MINE;S4H_VW_ZBRTPP_MINE_R;
ZS4_VCI_ZBRTPP_PLANT_RAL;RS_S4H_PUB_003;S4H_TB_ZBRTPP_PLANT_RAL;S4H_VW_ZBRTPP_PLANT_RAL_R;
ZS4_VCI_ZBRTPP_RAL_EXCEP;RS_S4H_PUB_003;S4H_TB_ZBRTPP_RAL_EXCEP;S4H_VW_ZBRTPP_RAL_EXCEP_R;
ZS4_VCI_ZBRTPP_RAL_PROFC;RS_S4H_PUB_003;S4H_TB_ZBRTPP_RAL_PROFC;S4H_VW_ZBRTPP_RAL_PROFC_R;
ZS4_VCI_ZBRTPP_RAL_SAP_M;RS_S4H_PUB_003;S4H_TB_ZBRTPP_RAL_SAP_M;S4H_VW_ZBRTPP_RAL_SAP_M_R;
ZS4_VCI_ZBRTPP_RAL_SAP_P;RS_S4H_PUB_003;S4H_TB_ZBRTPP_RAL_SAP_P;S4H_VW_ZBRTPP_RAL_SAP_P_R;
ZS4_VCI_ZBRTPP_SYSTEM;RS_S4H_PUB_003;S4H_TB_ZBRTPP_SYSTEM;S4H_VW_ZBRTPP_SYSTEM_R;
ZS4_VCI_ZBRTSD_BBGCOT;RS_S4H_PUB_003;S4H_TB_ZBRTSD_BBGCOT;S4H_VW_ZBRTSD_BBGCOT_R;
ZS4_VCI_ZBRTSD_CNSLD_NFE;RS_S4H_PUB_003;S4H_TB_ZBRTSD_CNSLD_NFE;S4H_VW_ZBRTSD_CNSLD_NFE_R;
ZS4_VCI_ZBRTSD_MDFE_DRCX;RS_S4H_PUB_003;S4H_TB_ZBRTSD_MDFE_DRCX;S4H_VW_ZBRTSD_MDFE_DRCX_R;
ZS4_VCI_ZBRTSDPROVHIST;RS_S4H_PUB_003;S4H_TB_ZBRTSDPROVHIST;S4H_VW_ZBRTSDPROVHIST_R;
ZS4_VCI_ZBRTSDPROVISIONH;RS_S4H_PUB_003;S4H_TB_ZBRTSDPROVISIONH;S4H_VW_ZBRTSDPROVISIONH_R;
ZS4_VCI_ZBW_CSM_SALESMAP;RS_S4H_PUB_003;S4H_TB_ZBW_CSM_SALESMAP;S4H_VW_ZBW_CSM_SALESMAP_R;
ZS4_VCI_ZCCTMM_GR_ANOM;RS_S4H_PUB_003;S4H_TB_ZCCTMM_GR_ANOM;S4H_VW_ZCCTMM_GR_ANOM_R;
ZS4_VCI_ZCCTMM_KITINV;RS_S4H_PUB_003;S4H_TB_ZCCTMM_KITINV;S4H_VW_ZCCTMM_KITINV_R;
ZS4_VCI_ZCCTMM_KITSEP;RS_S4H_PUB_003;S4H_TB_ZCCTMM_KITSEP;S4H_VW_ZCCTMM_KITSEP_R;
